标题,出发日期,天数,城市,路线,人数,玩法,费用,阅读数,点赞数,评论数
武汉春天怎么玩？到黄陂赏花、品美食、住民宿，体验乡野田园生活,2023-04-01 出发,共5天,武汉,武汉大学>木兰云雾山>木兰天池>锦里沟>木兰山>木兰草原,家庭,美食 清明 赏樱 短途周末 踏春,人均3000元,2.2万,38,0
圆大宋东京梦，嵩山少林之行,2023-04-30 出发,共1天,开封,大相国寺>开封府>清明上河园>开封博物馆,,美食,,7381,4,0
五一 福州平潭亲子游5天4夜,2023-04-28 出发,共5天,平潭>福州,平潭岛>龙凤头海滨浴场>龙凤头沙滩>海坛古城>仙人井>坛南湾>象鼻湾>三坊七巷...,亲子,环游 五一 自驾 第一次,人均3500元,9408,10,0
【北疆吃住游】＃@LifeMeganNG新疆之旅,2023-04-22 出发,共8天,乌鲁木齐>昌吉市,新疆维吾尔自治区博物馆>新疆大剧院>昌吉回民小吃街>人民公园>地窝堡国际机场,独自一人,美食 五一 自驾 摄影,人均4800元,9102,3,0
连云港  畅游大圣故里，邂逅山海美景,2023-04-13 出发,共1天,连云港,连岛>海上云台山>花果山>连云港老街>墟沟海鲜美食城,,漫游 美食 海滨海岛,,6.3万,5811,0
大陈岛临海三天两夜,2023-04-27 出发,共1天,台州>临海,大陈岛>甲午岩>紫阳街>台州府城墙>台州府城文化旅游区,,,,2063,0,0
平一座城，遥一场梦（平遥古城游记攻略）,2023-04-14 出发,共1天,平遥,镇国寺>双林寺>城隍庙>同兴公镖局>市楼>蔚盛长>雷履泰故居>百川通>汇武林博物馆...,,美食,,4792,4,0
重庆武隆游,2023-04-22 出发,共4天,武隆>重庆,,独自一人,短途周末 春节,,1万,8,0
重庆，武隆，酉阳7日游,2023-04-06 出发,共7天,重庆,魁星楼>洪崖洞民俗风貌区>仙女山国家森林公园>龙水峡地缝>解放碑步行街>长江索道...,闺蜜,深度游 美食 清明 古镇,人均7000元,7572,2,0
3日游,2023-04-20 出发,共3天,丹东,,,美食,人均600元,1.1万,6,0
蓄谋已久的母女二人亲子旅行——上海、苏州游,2023-04-16 出发,共1天,上海>苏州,上海迪士尼度假区>南京东路>南京路步行街>巴斯光年星际营救>冰雪奇缘：欢唱盛会...,,,,7177,6,0
两天一晚春遇江南，行至仙居亦若仙,2023-04-19 出发,共1天,仙居>北京,神仙居>皤滩古镇,,古镇,,2.6万,6,0
自驾游‖咱们去皖南皖几天吧,2023-02-18 出发,共4天,歙县>黄山>黟县>丽水,棠樾牌坊群>徽州古城>灵山村>南湖>西溪>南湖书院>卖花渔村>宏村景区>歙县芳华酒...,三五好友,深度游 自驾 短途周末 踏春,人均1500元,1.7万,20,0
7天6晚 2023年日本樱花季打卡游,2023-03-30 出发,共1天,日本(大阪Osaka 东京Tokyo),梅田>东京大学,,赏樱,,1675,3,0
【豫北】浚县－卫辉－辉县｜古庙古寺古塔，游走在豫西北的历史文化长廊中,2023-03-25 出发,共3天,浚县,大伾山景区,独自一人,古镇 夏季,人均700元,1.6万,11,0
烟花三月下广西---用脚步丈量南宁北海,2023-04-02 出发,共8天,北海>南宁,北海银滩旅游度假区>广西大学>青秀山>邕江>南湖公园>侨港风情街>北海站>斜阳岛...,,漫游,,2246,1,0
香港澳门游2023.4.14,2023-04-14 出发,共7天,,,独自一人,,人均1元,8970,14,0
江西游,2023-04-05 出发,共1天,南昌>贵溪>婺源,八一起义纪念馆>江西省博物馆（新馆）>滕王阁>正一观>上清古镇>天师府>婺源篁岭...,,古镇,,4115,4,0
【豫北】安阳-汤阴︱沿3000年时光遂道走进殷商世界,2023-03-22 出发,共3天,安阳>汤阴,殷墟>袁林>文峰塔>羑里城>韩魏公祠>安阳博物馆>中国文字博物馆>汤阴岳飞庙,独自一人,踏春,人均900元,1.1万,3,0
迪拜穷游,2023-04-06 出发,共6天,阿联酋(迪拜Dubai 沙迦Sharjah)>德清,哈利法塔（迪拜塔）>黄金市场>Quran Roundabout,三五好友,穷游,,2876,1,0
走进伊犁、走进漫画,2022-06-25 出发,共1天,伊犁,唐布拉风景区>六星街,,,,907,0,0
海鲜呀，不吃就不会被坑,2023-04-01 出发,共1天,,,,美食,,6171,10,0
10日游,2023-03-28 出发,共5天,石家庄,,,清明 短途周末,,1.3万,2,0
在日本，亲历一场雪中的民俗节日,2023-02-09 出发,共1天,日本(山形市Yamagata 上山市Kaminoyama),,,滑雪 温泉,,7636,1,0
烟花三月游金陵，下扬州,2023-04-01 出发,共5天,扬州>南京,文昌阁>南京博物院>秦淮河>鸡鸣寺>牛首山文化旅游区>瞻园>太平天国历史博物馆...,,美食,人均4300元,1510,1,0
2023.04 苏州1日,2023-04-07 出发,共1天,苏州,苏州站>狮子林>诚品书店>网师园>夜游网师园,独自一人,清明 短途周末,人均400元,9534,1,0
2023湖南张家界、长沙之行,2023-03-27 出发,共9天,张家界>长沙,六奇阁>金鞭溪大峡谷>黄石寨>张家界《魅力湘西》演出>天子山>贺龙公园>杨家界...,,美食,人均5500元,9401,8,0
“春”逅神农架,2023-04-01 出发,共5天,神农架>宜昌,坪阡古镇>神农架风景区>神农架木鱼镇>板壁岩>天生桥>太子垭>神农谷>金猴岭>香溪...,三五好友,清明 自驾,人均3600元,2371,2,0
【赣州】  遇见江南宋城，走进客家文化的摇篮,2023-03-06 出发,共5天,赣州,福寿沟>古浮桥>灶儿巷>郁孤台>通天岩,,,,9888,5,0
慈城｜不觉千年，时光如此细致,2023-04-04 出发,共1天,,,,美食,,8764,4,0
江南踏青:绍兴,2023-03-11 出发,共2天,绍兴,沈园>仓桥直街>八字桥>三味书屋>百草园>蕺山>书圣故里历史街区,独自一人,短途周末 踏春,人均1000元,9272,6,0
春游项王故里，最是一年春好处,2023-03-17 出发,共1天,宿迁,项王故里>骆马湖沙滩公园,,美食,,5.3万,3,0
[江西吉安] 古村古韵，书院名儒，徜徉在江右庐陵历史文化的海洋中,2023-03-01 出发,共5天,吉安,白鹭洲书院>渼陂古村>青原山>古南塔,,古镇,,8895,4,0
内蒙之旅/解锁呼伦贝尔市蓝天白云，大草原亲子之行！,2022-07-22 出发,共8天,,,家庭,深度游 摄影 夏季 第一次,人均6600元,4012,11,0
三地行之广州行,2023-03-01 出发,共10天,广州>佛山,永庆坊>广州塔>海心沙>光孝寺>上下九步行街>陈家祠>逢简水乡>清晖园>佛山祖庙...,独自一人,深度游 美食,人均3000元,1699,0,0
小鲁面の梦回大唐·漫游长安『西安三日王牌攻略』,2023-03-24 出发,共1天,西安,大明宫国家遗址公园>大慈恩寺>秦始皇帝陵博物院(兵马俑)>古观音禅寺>大雁塔>青龙寺...,,漫游,,8895,12,0
大同旅行计划5日（Datong Travel 5 Days),2023-04-04 出发,共1天,大同,云冈石窟>大同站>大同云冈机场>华严寺>龙聚祥烧麦馆>东城墙>晋华宫国家矿山公园...,,美食,,8436,4,0
新疆篇：南疆日记（2）,2023-03-15 出发,共10天,塔什库尔干Tashikuergan,帕米尔高原>盘龙古道,独自一人,深度游 踏春,人均6000元,1万,5,0
玩转中山，一个美丽迷人的地方,2023-03-28 出发,共1天,中山,中山北站>孙文西路>岐江公园>紫马岭公园>中山温泉,,温泉,,3.1万,5,0
兜爷看世界⑩——麦兜同学2223雪季封板的北京、崇礼之旅,2023-02-19 出发,共1天,北京,莲花山滑雪场>故宫博物院>北京站>南锣鼓巷>中国国家博物馆>雍和宫>环球影城大酒店...,,滑雪 温泉 第一次,,249,1,0
百看不厌的多伦多！美食、艺术、多元文化，给你爱上这里的理由！,2019-12-16 出发,共1天,庐山市>加拿大(多伦多Toronto),,,圣诞 购物 美食 探险,,122,0,0
【江西宜春】 宜春温泉，莹媚如春，饮之宜人,2023-02-26 出发,共3天,宜春,温汤镇,,温泉,,9514,9,0
金门骑行的快乐时光,2023-03-11 出发,共1天,,,,骑行,,9857,9,0
仙居寻仙，三天两晚轻松遛娃之旅,2023-03-11 出发,共1天,,,,古镇,,4.3万,13,0
神奇阿克苏，6天5600公里大穿越，美景美食实用攻略,2023-03-10 出发,共1天,台北Taipei City,,,美食,,1万,10,0
未命名标题,2023-03-10 出发,共1天,,,,,,1万,0,0
新疆行｜丝路古龟兹，神奇阿克苏,2023-03-09 出发,共1天,,,,,,9.4万,160,0
记录云南四川16日游,2023-02-15 出发,共16天,成都>大理,春熙路>大理沐云花舍民宿>理想邦,闺蜜,美食 古镇,人均10000元,1万,10,0
日本爱媛县3晚4天小众之旅,2023-03-07 出发,共1天,,,,,,9039,10,0
阿克苏地区深度自驾游｜5600公里，丝路古龟兹，神奇阿克苏探秘之旅,2023-02-26 出发,共6天,阿克苏,,三五好友,深度游 自驾 踏春 探险,人均3000元,1.2万,8,0
单车自驾游遍中国之二   新疆、陕西、甘肃,2017-09-09 出发,共26天,富蕴,可可托海景区>阿勒泰神钟山,情侣,深度游 环游 自驾,人均13000元,7026,2,0
未命名标题,2023-03-04 出发,共1天,张家界,天门洞>十里画廊>张家界国家森林公园>袁家界景区>武陵源>天子山风景区>杨家界景区...,,美食,,1万,6,0
江南水乡【苏州】游记,2023-03-03 出发,共4天,苏州,太湖>山塘街>寒山寺>拙政园>苏州博物馆>留园,,美食,人均1000元,8849,6,0
未命名标题,2023-03-02 出发,共1天,张家界,十里画廊>武陵源>杨家界景区>张家界国家森林公园>袁家界景区>天子山风景区>金鞭溪...,,购物 美食 自驾,,1.2万,3,0
单车自驾游遍中国之十一 : 2022年游贵州,2022-08-27 出发,共20天,,,,美食 古镇 自驾 摄影,人均6500元,4538,6,0
未命名标题,2023-02-27 出发,共1天,,,,,,9147,9,0
未命名标题,2023-02-25 出发,共1天,张家界,荷花机场>张家界国家森林公园>张家界中心汽车站>武陵源>张家界火车站>百龙天梯...,,美食,,1.1万,2,0
从苏州到上海，温婉与梦幻的碰撞之旅,2023-02-13 出发,共6天,南京>苏州,夫子庙>观前街>老门东历史街区>鸡鸣寺>南京城墙>秦淮河>夫子庙秦淮风光带>南京博...,亲子,深度游 美食 寒假 冬季,人均4500元,5038,14,0
KK云南之旅（附超详细攻略：芒市瑞丽腾冲西双版纳昆明陆良元谋）,2023-02-26 出发,共9天,景洪>芒市,西双版纳总佛寺>勐焕银塔>德宏芒市机场>江边夜市>树包塔>野象谷>西双版纳原始森林...,三五好友,深度游 环游 美食 古镇 踏春 摄影,人均4500元,8562,5,0
刺桐城的暑天之行（福建泉州四天自由行）,2023-07-15 出发,共4天,泉州,天后宫>德济门遗址>大开元寺>清源山>涂门街>老君岩>真武庙>清净寺>泉州府文庙...,三五好友,深度游 美食 古镇 夏季 第一次,人均1500元,1398,1,0
2岁萌宝玩转上海5天4晚攻略大全,2023-02-13 出发,共5天,上海,,,深度游,人均2500元,1万,33,0
西双版纳5日游,2023-02-12 出发,共5天,景洪>西双版纳,江边夜市>野象谷>星光夜市>曼听公园>版纳客运站>西双版纳总佛寺>告庄西双景,闺蜜,美食 徒步 第一次 春节,人均3000元,5095,8,0
日本富山县新川地区两市两町的小众游,2023-02-15 出发,共1天,,,,,,8806,3,0
微夏的2023年春节桂林家庭之旅～,2023-02-14 出发,共10天,桂林,桂林机场咖啡厅>象鼻山景区>桂林叠彩伏波景区,家庭,深度游 春节,,1.1万,17,0
火辣成都，冷艳川西|在毕棚沟鹧鸪山邂逅一场冰雪奇缘,2023-01-24 出发,共4天,理县>成都,毕棚沟>春熙路>成都IFS国际金融中心>成都天府国际机场>磐羊湖>人民公园>宽窄巷子...,闺蜜,美食 滑雪 短途周末 摄影 冬季 第一次 春节,人均3500元,9145,11,0
锦城之行（2023年春节四川成都、乐山、峨眉山自由行）,2023-01-24 出发,共8天,成都>峨眉山>都江堰>乐山,宽窄巷子>奎星楼街>峨眉山>雷洞坪>春熙路>都江堰景区>峨眉山天秀饭店>成都东站...,三五好友,深度游 登山 徒步 第一次 春节,人均4000元,6184,9,0
探寻大鱼海棠～厦门南靖土楼,2023-02-04 出发,共7天,厦门Xiamen>漳州>南靖,高崎国际机场>柏曼酒店(厦门机场湖里大道店)>漳州古城>云水谣古镇>心语饭店>花筑·...,,探险,,6744,4,0
北京慕田峪长城一日游怎么玩？,2023-01-31 出发,共1天,北京,慕田峪长城,家庭,深度游 清明 五一 毕业游 短途周末,人均120元,1万,10,0
"厦门,南靖7日游",2023-01-22 出发,共7天,天津>厦门Xiamen>南靖,滨海国际机场>中山路步行街>会展中心沙滩>台湾民俗村>曾厝垵>厦门国际邮轮中心...,家庭,深度游 环游 漫游 美食 游轮 春节,人均8000元,1.1万,10,0
横店影视城3天2夜亲子游全攻略,2023-01-27 出发,共3天,东阳>昆明,,亲子,自驾 春节,人均1000元,1.2万,7,0
内蒙古 呼伦贝尔大草原 携手闺蜜 亲子游,2022-07-10 出发,共5天,呼伦贝尔,满洲里套娃城堡酒店>呼伦湖,三五好友,深度游 自驾 摄影 夏季,人均4000元,1万,13,0
武夷山两日亲子游,2023-07-15 出发,共2天,武夷山,武夷山国家公园>下梅古民居>武夷宫>九龙窠>岩骨花香漫游道>天游峰>一线天>水帘洞...,亲子,漫游 美食 自驾 短途周末 夏季,人均800元,1190,1,0
【长沙】吃不完爱不尽的人间烟火，四天霸蛮逛吃30+家（含实用攻略）,2023-01-25 出发,共1天,长沙,岳麓山>湘江>金玲老店>夏记粉店>长郡中学>五娭毑臭豆腐(黄兴南路店)>黑色经典臭豆...,,美食,,1.3万,13,0
厦门亲子十二日游春节,2023-01-19 出发,共12天,厦门Xiamen>上海,第八海鲜市场>集美学村>南普陀寺>第八市场>鼓浪屿>厦门万佳国际酒店(蔡塘地铁站店)...,亲子,第一次 春节,人均5084元,2825,2,0
【我向雪山走去】记云南梅里宝山石头城徒步旅行游记，雨崩虫草线尼农峡谷,2022-11-26 出发,共9天,德钦>香格里拉Xianggelila>丽江,雨崩村>独克宗古城>龟山公园>虎跳峡>白马雪山>飞来寺>金沙江大拐弯观景台>金沙江...,独自一人,深度游 摄影 徒步,人均4600元,1.3万,13,0
荒野阿里，阅遍西藏的无限种风景,2023-01-15 出发,共1天,,,,,,9545,6,0
爱上“东方莫斯科”，寻找“林海雪原”——哈尔滨雪乡五日行记,2023-01-13 出发,共1天,哈尔滨>雪乡xuexiang,松花江>中央大街>圣索菲亚大教堂>防洪纪念塔>哈尔滨冰雪大世界>哈尔滨极地公园·极,,,,1.2万,9,0
三亚,2022-12-31 出发,共10天,三亚,海棠湾>天涯镇>亚龙湾>第一市场>后海村>西岛>凤凰岭海誓山盟景区>兰花谷>亚龙湾...,情侣,深度游 跨年 美食 自驾 冬季 第一次,人均10000元,1.1万,8,0
七天六夜，从闽南到粤东的吃喝玩乐自驾之旅,2023-01-03 出发,共7天,东山,东山岛>苏峰山>南门湾>澳角村,闺蜜,美食 自驾 寒假,人均2885元,7364,0,0
未命名标题,2023-01-07 出发,共1天,,,,,,9368,1,0
让烦躁的心去流浪吧！,2022-11-15 出发,共30天,德钦>香格里拉Xianggelila>苏州>黄山,飞来寺>德钦县>雨崩村>雨崩神瀑>冰湖>西当村>松赞林景区>噶丹松赞林寺>独克宗古...,,深度游 摄影 徒步,,1.1万,9,0
福建攻略｜登武夷山，游九曲溪，品地道闽味,2022-12-19 出发,共1天,武夷山,玉女峰>武夷山国家公园>天游峰>一线天>万春园>大王峰>虎啸岩>武夷山九曲溪>宋街...,,漫游 美食,,4.5万,9,0
高松走透透,2018-08-19 出发,共4天,日本(高松Takamatsu),女木岛>金刀比罗宫>栗林公园>高松港,三五好友,深度游 购物 美食 暑假,人均3000元,1.2万,5,0
未命名标题,2022-12-11 出发,共1天,,,,,,1.3万,8,0
敬畏自然｜北极圈之旅的感悟（格陵兰岛篇）,2022-11-30 出发,共1天,丹麦(哥本哈根Copenhagen)>格陵兰岛(伊卢利萨特Ilulissat),哥本哈根歌剧院>罗森堡宫>Citadel,,徒步,,8769,6,0
【北京】二0二二之秋｜酒贱常愁客少，月明多被云妨,2022-11-07 出发,共4天,,,独自一人,深度游 赏秋,,1.2万,6,0
我是有大海的人呐（山东青烟威秋冬5日自驾）,2022-11-17 出发,共1天,青岛>烟台>威海,崂山>养马岛>栈桥>韩乐坊>青山渔村>八大关>五四广场>流亭>青山村>金沙滩海滨公...,,自驾 赏秋 冬季,,1.4万,9,0
敬畏自然｜北极圈之旅的感悟（冰岛篇）,2022-07-16 出发,共10天,冰岛(雷克雅未克Reykjavik 维克Vik 米湖Myvatn),哈尔格林姆斯大教堂>冰岛国家博物馆>国会旧址>冰岛大学>托宁湖>斯奈菲尔火山>斯奈...,亲子,深度游 环游 购物 温泉 自驾 暑假 夏季 徒步,人均20000元,1.8万,7,0
【北京】二0二二之秋，京城古迹知多少（上）,2022-09-06 出发,共5天,北京,南锣鼓巷>景山公园>明十三陵>银山塔林>颐和园>万寿寺>圆明园>中国人民大学,独自一人,深度游 短途周末,,9796,4,0
💙印尼旅行💙站在活火山口是什么体验？火山深海全攻略❗,2017-05-01 出发,共8天,瑞典(布罗Bro)>冰岛(雷克雅未克Reykjavik),,独自一人,深度游 五一,人均6000元,1.1万,5,0
30天穷游老柬越（老挝篇）,2022-11-08 出发,共30天,,,独自一人,深度游 穷游 第一次,人均5037元,1.4万,6,0
这样的大理你见过吗？五天四晚看不一样的大理,2022-11-06 出发,共1天,大理,洱源,三五好友,自驾 赏秋,人均6000元,1.4万,10,0
